epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1303.43,0.80407,0.61951,1.11903,0.87553,0.64717,0.76337,0.58922,1.00402,0.8171,1.19104,6.92576e-05,6.92576e-05,6.92576e-05
2,2033.97,0.71477,0.52916,1.06015,0.87609,0.61761,0.74757,0.56926,1.02848,0.88624,1.21456,0.000131731,0.000131731,0.000131731
3,2765.87,0.71506,0.53098,1.05704,0.85936,0.59433,0.71418,0.53407,1.06793,0.95422,1.25523,0.00018734,0.00018734,0.00018734
4,3511.16,0.73642,0.55074,1.06678,0.83784,0.59151,0.72553,0.55579,1.05935,0.94211,1.24343,0.000177112,0.000177112,0.000177112
5,4170.77,0.7431,0.5589,1.07411,0.71895,0.68862,0.72152,0.55148,1.0509,0.92197,1.2324,0.000166816,0.000166816,0.000166816
6,4957.66,0.73889,0.55966,1.07584,0.80351,0.67814,0.73965,0.56176,1.04064,0.89059,1.236,0.00015652,0.00015652,0.00015652
7,5736.96,0.7477,0.561,1.07707,0.86621,0.62944,0.74228,0.56484,1.05626,0.90167,1.2505,0.000146224,0.000146224,0.000146224
8,6601.9,0.74504,0.55862,1.07632,0.8549,0.61925,0.739,0.56145,1.03792,0.90726,1.21912,0.000135928,0.000135928,0.000135928
9,7408.59,0.74404,0.55549,1.07839,0.85316,0.63631,0.75283,0.57416,1.02497,0.88306,1.20832,0.000125632,0.000125632,0.000125632
10,8115.62,0.74639,0.56056,1.08113,0.83808,0.66216,0.74485,0.56807,1.0248,0.88134,1.20884,0.000115336,0.000115336,0.000115336
11,9185.4,0.75672,0.55996,1.08449,0.87134,0.6408,0.74178,0.56998,1.01209,0.86929,1.19953,0.00010504,0.00010504,0.00010504
