epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1230.09,0.79658,0.60443,1.11581,0.87279,0.65337,0.78925,0.60647,0.99851,0.82802,1.17866,6.92576e-05,6.92576e-05,6.92576e-05
2,1889.15,0.74003,0.55108,1.07797,0.84326,0.63265,0.75916,0.56999,1.04186,0.88673,1.21895,0.000131731,0.000131731,0.000131731
3,2529.12,0.74803,0.56326,1.07912,0.77563,0.65995,0.74295,0.56298,1.05537,0.96828,1.24072,0.00018734,0.00018734,0.00018734
4,3164.37,0.77058,0.58563,1.09103,0.87204,0.5667,0.72648,0.5456,1.06556,0.95105,1.24691,0.000177112,0.000177112,0.000177112
5,3808.38,0.77961,0.60117,1.09927,0.83965,0.6417,0.74043,0.56186,1.05165,0.94843,1.24073,0.000166816,0.000166816,0.000166816
6,4454.25,0.77429,0.59689,1.10083,0.85575,0.621,0.72602,0.54664,1.06722,0.93303,1.24972,0.00015652,0.00015652,0.00015652
7,5140.81,0.78281,0.60748,1.10163,0.79322,0.66433,0.73541,0.55443,1.06667,0.90641,1.24828,0.000146224,0.000146224,0.000146224
8,5764.42,0.7816,0.59875,1.10159,0.80729,0.65567,0.74654,0.56391,1.05654,0.89296,1.23589,0.000135928,0.000135928,0.000135928
9,6420.9,0.77912,0.59409,1.10236,0.81028,0.67119,0.74421,0.56728,1.03872,0.87945,1.22133,0.000125632,0.000125632,0.000125632
10,7072.78,0.78509,0.59861,1.10768,0.81942,0.67481,0.74572,0.56968,1.0257,0.86356,1.20502,0.000115336,0.000115336,0.000115336
11,8069,0.78522,0.59248,1.10605,0.86436,0.63652,0.75224,0.57515,1.01932,0.87068,1.19841,0.00010504,0.00010504,0.00010504
