epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1282.1,0.82104,0.63884,1.12992,0.87197,0.65519,0.75494,0.58342,1.00907,0.83342,1.19338,6.92576e-05,6.92576e-05,6.92576e-05
2,2036.53,0.74011,0.55444,1.07761,0.81504,0.6616,0.75356,0.57263,1.03644,0.89677,1.21488,0.000131731,0.000131731,0.000131731
3,2706.54,0.74066,0.55851,1.07379,0.86899,0.59927,0.74184,0.56062,1.06024,0.92342,1.24452,0.00018734,0.00018734,0.00018734
4,3368.04,0.76332,0.58229,1.08527,0.86007,0.59152,0.7227,0.54347,1.06535,0.93998,1.24078,0.000177112,0.000177112,0.000177112
5,4024.01,0.77314,0.59014,1.09493,0.84934,0.60118,0.7339,0.55096,1.05893,0.95163,1.2474,0.000166816,0.000166816,0.000166816
6,4651.91,0.76457,0.58695,1.0933,0.8635,0.63225,0.7577,0.56439,1.06504,0.93429,1.24379,0.00015652,0.00015652,0.00015652
7,5354.2,0.77461,0.58936,1.09608,0.8048,0.65679,0.75452,0.56757,1.05983,0.92386,1.24322,0.000146224,0.000146224,0.000146224
8,6050.55,0.76994,0.58496,1.09412,0.838,0.62008,0.72875,0.55658,1.04009,0.91261,1.22293,0.000135928,0.000135928,0.000135928
9,6824.48,0.76925,0.58302,1.09589,0.79635,0.66702,0.75831,0.58067,1.03516,0.88664,1.21908,0.000125632,0.000125632,0.000125632
10,7504.93,0.77407,0.58725,1.09898,0.88208,0.61641,0.75672,0.5756,1.02098,0.89585,1.20551,0.000115336,0.000115336,0.000115336
11,8496.11,0.77842,0.58507,1.09947,0.85836,0.63974,0.75573,0.57839,1.02057,0.87061,1.20376,0.00010504,0.00010504,0.00010504
