epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1044.91,0.81596,0.63389,1.12746,0.85609,0.64147,0.75218,0.57441,1.0097,0.85284,1.20034,6.92576e-05,6.92576e-05,6.92576e-05
2,1767.64,0.7289,0.5451,1.06868,0.85479,0.63725,0.73242,0.55525,1.04841,0.93171,1.23418,0.000131731,0.000131731,0.000131731
3,2535.18,0.73188,0.5511,1.06734,0.8128,0.64424,0.74219,0.56482,1.05725,0.93279,1.23446,0.00018734,0.00018734,0.00018734
4,3289.09,0.75367,0.56621,1.07897,0.80191,0.61273,0.70783,0.53023,1.06368,0.94857,1.24949,0.000177112,0.000177112,0.000177112
5,4009.42,0.7614,0.57809,1.08594,0.85319,0.61552,0.73493,0.54786,1.05588,0.93265,1.23583,0.000166816,0.000166816,0.000166816
6,4742.9,0.75799,0.5785,1.089,0.83312,0.64362,0.72623,0.54702,1.0652,0.94536,1.24896,0.00015652,0.00015652,0.00015652
7,5425.81,0.76247,0.57874,1.08858,0.8538,0.63157,0.75482,0.5644,1.04538,0.89163,1.23155,0.000146224,0.000146224,0.000146224
8,6102.27,0.76023,0.57268,1.0864,0.74913,0.6927,0.7558,0.57455,1.04434,0.89928,1.23188,0.000135928,0.000135928,0.000135928
9,6782.79,0.76142,0.57331,1.0894,0.83548,0.63175,0.74976,0.5675,1.03697,0.89483,1.21906,0.000125632,0.000125632,0.000125632
10,7500.16,0.7647,0.57708,1.0925,0.84672,0.64824,0.75991,0.57992,1.02139,0.85973,1.20386,0.000115336,0.000115336,0.000115336
11,8452.54,0.77013,0.57483,1.09434,0.82591,0.66652,0.76247,0.57906,1.02939,0.87371,1.21662,0.00010504,0.00010504,0.00010504
12,9187.14,0.87727,0.69509,1.16668,0.79525,0.67429,0.76283,0.5802,1.02003,0.8542,1.20256,9.4744e-05,9.4744e-05,9.4744e-05
13,9866.27,0.86987,0.69067,1.16334,0.78839,0.68503,0.75082,0.57348,1.0092,0.83575,1.19426,8.4448e-05,8.4448e-05,8.4448e-05
14,10489.3,0.86744,0.68715,1.16121,0.84723,0.65023,0.77452,0.58876,1.00453,0.82632,1.18839,7.4152e-05,7.4152e-05,7.4152e-05
15,11117.3,0.8687,0.68304,1.16325,0.82081,0.68764,0.76185,0.58615,0.98969,0.80997,1.17205,6.3856e-05,6.3856e-05,6.3856e-05
16,11776.8,0.86634,0.68146,1.15995,0.78867,0.71352,0.77081,0.59604,0.98045,0.79723,1.16303,5.356e-05,5.356e-05,5.356e-05
17,12429.8,0.86847,0.68308,1.16303,0.82131,0.69178,0.7709,0.59273,0.97019,0.79628,1.15553,4.3264e-05,4.3264e-05,4.3264e-05
18,13081.1,0.86879,0.68119,1.16393,0.86464,0.67393,0.78509,0.60642,0.96784,0.78658,1.15644,3.2968e-05,3.2968e-05,3.2968e-05
19,13751.6,0.87244,0.68371,1.16614,0.8255,0.69355,0.78843,0.60745,0.96307,0.77042,1.14864,2.2672e-05,2.2672e-05,2.2672e-05
20,14373.6,0.87967,0.68487,1.16904,0.82575,0.70112,0.78814,0.60773,0.96103,0.76703,1.1471,1.2376e-05,1.2376e-05,1.2376e-05
